,puntuacion usuarios,marca
2368,8.7,SONY
3419,8.7,SONY
3042,8.7,SONY
4341,8.7,SONY
9398,8.7,SONY
9725,8.7,SONY
11040,8.7,SONY
15699,8.7,SONY
4122,8.7,SONY
3237,8.7,SONY
3240,8.7,SONY
15715,8.7,SONY
887,8.7,SONY
3418,8.7,SONY
10081,8.7,SONY
9336,8.7,SONY
10289,8.7,SONY
10487,8.7,SONY
10418,8.7,SONY
3958,8.7,SONY
3533,8.7,SONY
3582,8.7,SONY
3609,8.7,SONY
3658,8.7,SONY
3684,8.7,SONY
3748,8.7,SONY
3780,8.7,SONY
3794,8.7,SONY
12877,8.7,SONY
4539,8.7,SONY
2370,8.7,SONY
8883,8.7,SONY
11196,8.7,SONY
5320,8.7,SONY
8223,8.7,SONY
5057,8.7,SONY
5003,8.7,SONY
4996,8.7,SONY
8300,8.7,SONY
2528,8.7,SONY
8450,8.7,SONY
2621,8.7,SONY
15380,8.7,SONY
2697,8.7,SONY
4706,8.7,SONY
2988,8.7,SONY
2788,8.7,SONY
4704,8.7,SONY
2815,8.7,SONY
2826,8.7,SONY
2829,8.7,SONY
2833,8.7,SONY
4691,8.7,SONY
2908,8.7,SONY
4609,8.7,SONY
4604,8.7,SONY
2962,8.7,SONY
2983,8.7,SONY
10941,8.7,SONY
5868,8.7,SONY
104,8.7,SONY
450,8.7,SONY
125,8.7,SONY
719,8.7,SONY
120,8.7,SONY
57,8.7,SONY
17176,8.7,SONY
216,8.7,SONY
342,8.7,SONY
98,8.7,SONY
606,8.7,SONY
743,8.7,SONY
2172,8.6,SONY
5297,8.6,SONY
9166,8.6,SONY
3800,8.6,SONY
1327,8.6,SONY
4081,8.6,SONY
16230,8.6,SONY
2794,8.6,SONY
3215,8.6,SONY
2188,8.6,SONY
4060,8.6,SONY
2149,8.6,SONY
12857,8.6,SONY
4271,8.6,SONY
3241,8.6,SONY
3212,8.6,SONY
4071,8.6,SONY
2176,8.6,SONY
12731,8.6,SONY
1650,8.6,SONY
809,8.6,SONY
1271,8.6,SONY
3784,8.6,SONY
4238,8.6,SONY
5129,8.6,SONY
5951,8.6,SONY
5943,8.6,SONY
6233,8.6,SONY
6237,8.6,SONY
810,8.6,SONY
2265,8.6,SONY
1260,8.6,SONY
2255,8.6,SONY
5193,8.6,SONY
1274,8.6,SONY
3263,8.6,SONY
2247,8.6,SONY
4621,8.6,SONY
12699,8.6,SONY
3798,8.6,SONY
11442,8.6,SONY
15116,8.6,SONY
8563,8.6,SONY
1305,8.6,SONY
1468,8.6,SONY
3910,8.6,SONY
1477,8.6,SONY
8892,8.6,SONY
5710,8.6,SONY
1730,8.6,SONY
4343,8.6,SONY
1940,8.6,SONY
4441,8.6,SONY
6519,8.6,SONY
5633,8.6,SONY
4414,8.6,SONY
4412,8.6,SONY
4361,8.6,SONY
8662,8.6,SONY
1813,8.6,SONY
2985,8.6,SONY
8836,8.6,SONY
4388,8.6,SONY
8837,8.6,SONY
107,8.6,SONY
1888,8.6,SONY
2945,8.6,SONY
8848,8.6,SONY
1963,8.6,SONY
1965,8.6,SONY
4535,8.6,SONY
4297,8.6,SONY
6752,8.6,SONY
3901,8.6,SONY
9348,8.6,SONY
15560,8.6,SONY
333,8.6,SONY
3112,8.6,SONY
4517,8.6,SONY
3094,8.6,SONY
100,8.6,SONY
1579,8.6,SONY
1972,8.6,SONY
103,8.6,SONY
2843,8.6,SONY
10938,8.6,SONY
2873,8.6,SONY
2877,8.6,SONY
10898,8.6,SONY
6675,8.6,SONY
10864,8.6,SONY
1991,8.6,SONY
4235,8.6,SONY
10415,8.6,SONY
839,8.6,SONY
3458,8.6,SONY
35,8.6,SONY
2553,8.6,SONY
3461,8.6,SONY
3403,8.6,SONY
2522,8.6,SONY
970,8.6,SONY
889,8.6,SONY
7273,8.6,SONY
900,8.6,SONY
8209,8.6,SONY
2447,8.6,SONY
4802,8.6,SONY
1073,8.6,SONY
12390,8.6,SONY
915,8.6,SONY
2609,8.6,SONY
9672,8.6,SONY
3434,8.6,SONY
17815,8.6,SONY
3399,8.6,SONY
7896,8.6,SONY
4861,8.6,SONY
1130,8.6,SONY
999,8.6,SONY
11,8.6,SONY
520,8.6,SONY
11944,8.6,SONY
874,8.6,SONY
7098,8.6,SONY
7370,8.6,SONY
3585,8.6,SONY
876,8.6,SONY
3334,8.6,SONY
2672,8.6,SONY
3640,8.5,SONY
1999,8.5,SONY
13804,8.5,SONY
8649,8.5,SONY
4462,8.5,SONY
1994,8.5,SONY
10174,8.5,SONY
7452,8.5,SONY
3487,8.5,SONY
4887,8.5,SONY
102,8.5,SONY
1540,8.5,SONY
3067,8.5,SONY
5837,8.5,SONY
5843,8.5,SONY
4504,8.5,SONY
4192,8.5,SONY
2492,8.5,SONY
2038,8.5,SONY
4459,8.5,SONY
4013,8.5,SONY
2861,8.5,SONY
769,8.5,SONY
248,8.5,SONY
4029,8.5,SONY
678,8.5,SONY
7406,8.5,SONY
3924,8.5,SONY
7060,8.5,SONY
