,nombre,plataforma,fecha lanzamiento,puntuacion,puntuacion usuarios,desarrollador,genero,numero jugadores,numero criticas,numero usuarios
6296,Green Day: Rock Band,Wii,2010-06-08,76,8.4,HarmonixMusicSystems,"Action,Miscellaneous,Rhythm,Music,Music",No info,12,14
3757,Age of Empires III: The Asian Dynasties,PC,2007-10-23,81,8.4,BigHugeGames,"Strategy,Real-Time,Historic,Historic,Command",8  Online,19,95
1225,The Messenger,Switch,2018-08-30,86,8.4,SabotageStudio,"Action,Platformer,2D",No Online Multiplayer,42,179
3781,Dave Mirra Freestyle BMX 2,PlayStation2,2001-08-27,81,8.4,"Z-Axis,Ltd.","Sports,Alternative,Biking",1-2 ,21,19
2779,NHL Hitz 20-03,GameCube,2002-09-16,82,8.4,Midway,"Sports,Traditional,Ice Hockey,Arcade",1-4 ,12,7
6750,Manhunt,PlayStation2,2003-11-18,76,8.4,RockstarNorth,"Action Adventure,Modern",1 Player,47,178
4492,The Bigs,Xbox360,2007-06-25,79,8.4,BlueCastleGames,"Sports,Traditional,Team,Baseball,Arcade,Arcade",1-4 ,23,22
2627,Life is Strange: Episode 5 - Polarized,PC,2015-10-20,83,8.4,DONTNODEntertainment,"Action Adventure,General",No info,8,340
4487,Detention,Switch,2018-03-01,79,8.4,RedCandleGames,"Adventure,General",No Online Multiplayer,12,32
13569,Crash 'N' Burn,PlayStation2,2004-11-15,63,8.4,ClimaxGroup,"Driving,Racing,Arcade",16  Online,17,9
318,Final Fantasy XIV: Shadowbringers,PlayStation4,2019-07-02,91,8.4,SquareEnix,"Role-Playing,Massively Multiplayer",No info,18,276
7038,Baten Kaitos Origins,GameCube,2006-09-25,75,8.4,"MonolithSoft,NamcoBandaiGames","Role-Playing,Console-style RPG",1 Player,21,32
2200,NCAA College Basketball 2K3,Xbox,2002-12-02,84,8.4,KushGames,"Sports,Traditional,Basketball,Sim",1-4 ,12,5
4517,Brothers: A Tale of Two Sons,Switch,2019-05-28,79,8.4,TurnMeUpGames,"Action Adventure,Linear",No Online Multiplayer,18,21
2597,Overcooked! 2: Surf 'n' Turf,Switch,2018-10-03,83,8.4,GhostTownGamesLtd.,"Action,Arcade",No info,8,7
314,NCAA Football 2003,PlayStation2,2002-07-20,91,8.4,EASports,"Sports,Traditional,Football,Sim",1-8 ,19,27
2586,Rhythm Heaven,DS,2009-04-05,83,8.4,Nintendo,"Action,Miscellaneous,Rhythm,Music,Music",1 Player,48,83
7115,Buffy the Vampire Slayer: Chaos Bleeds,GameCube,2003-08-28,75,8.4,EurocomEntertainmentSoftware,"Action,Beat-'Em-Up",1-4 ,18,11
4477,Hunter: The Reckoning,Xbox,2002-05-21,79,8.4,HighVoltageSoftware,"Action,Beat-'Em-Up",1-4 ,28,20
7128,Etrian Odyssey,DS,2007-05-15,75,8.4,"Lancarse,Atlus","Role-Playing,First-Person,First-Person,Western-Style",No Online Multiplayer,30,44
1012,The Legend of Zelda: Link's Awakening,Switch,2019-09-20,87,8.4,"Nintendo,GREZZO","Action Adventure,Open-World",No Online Multiplayer,111,1135
7181,Dengeki Bunko: Fighting Climax,PlayStationVita,2015-10-06,75,8.4,"Sega,French-Bread","Action,Fighting,2D",Up to 4 ,7,29
1146,Dark Souls II: Crown of the Ivory King,PlayStation3,2014-09-30,87,8.4,NamcoBandaiGames,"Role-Playing,Action RPG",No info,10,70
1244,Final Fantasy X / X-2 HD Remaster,PlayStationVita,2014-03-18,86,8.4,Virtuos,"Miscellaneous,Compilation",No Online Multiplayer,14,400
6993,Kingdom Hearts 3D: Dream Drop Distance,3DS,2012-06-05,75,8.4,SquareEnix,"Role-Playing,Action RPG,Action RPG",No Online Multiplayer,54,507
13596,P.N. 03,GameCube,2003-09-09,63,8.4,Capcom,"Action Adventure,Sci-Fi",1 Player,35,41
426,Rayman Legends,PlayStation4,2014-02-18,90,8.4,UbisoftMontpellier,"Platformer,2D,Action,Platformer,2D",No Online Multiplayer,16,885
336,Crusader Kings III,PC,2020-09-01,91,8.4,ParadoxInteractive,"Strategy,Real-Time,General",Online Multiplayer,59,297
13691,Dragon Ball Z Budokai HD Collection,Xbox360,2012-11-06,63,8.4,Pyramid,"Miscellaneous,Compilation,Compilation",No Online Multiplayer,14,40
4566,Trauma Center: Under the Knife 2,DS,2008-07-02,79,8.4,Vanguard,"Action,Simulation,General,General,Virtual,Career",1 Player,29,13
6803,Summoner 2,PlayStation2,2002-09-23,76,8.4,VolitionInc.,"Role-Playing,Action RPG",1 Player,20,25
6818,Nobunaga's Ambition: Iron Triangle,PlayStation2,2009-01-27,76,8.4,Koei,"Strategy,Turn-Based,Historic",1 Player,8,8
